"assembly_barcode","source_type","species","ST"
"ESC_FC7286AA_AS","Human","Escherichia coli",131
"ESC_FC7288AA_AS","Human","Escherichia coli",131
"ESC_FC7289AA_AS","Human","Escherichia coli",131
"ESC_FC7292AA_AS","Human","Escherichia coli",131
"ESC_FC7294AA_AS","Human","Escherichia coli",131
"ESC_FC7301AA_AS","Human","Escherichia coli",131
"ESC_FC7306AA_AS","Human","Escherichia coli",131
"ESC_FC7310AA_AS","Human","Escherichia coli",131
"ESC_FC7311AA_AS","Human","Escherichia coli",131
"ESC_FC7312AA_AS","Human","Escherichia coli",131
"ESC_FC7313AA_AS","Human","Escherichia coli",131
"ESC_FC7314AA_AS","Human","Escherichia coli",131
"ESC_FC7323AA_AS","Human","Escherichia coli",131
"ESC_FC7330AA_AS","Human","Escherichia coli",131
"ESC_FC7343AA_AS","Human","Escherichia coli",131
"ESC_FC7360AA_AS","Human","Escherichia coli",131
"ESC_FC7361AA_AS","Human","Escherichia coli",131
"ESC_FC7367AA_AS","Human","Escherichia coli",131
"ESC_FC7368AA_AS","Human","Escherichia coli",131
"ESC_FC7385AA_AS","Human","Escherichia coli",131
"ESC_FC7393AA_AS","Human","Escherichia coli",131
"ESC_FC7394AA_AS","Human","Escherichia coli",131
"ESC_FC7396AA_AS","Human","Escherichia coli",131
"ESC_FC7408AA_AS","Human","Escherichia coli",131
"ESC_FC7413AA_AS","Human","Escherichia coli",131
"ESC_FC7416AA_AS","Human","Escherichia coli",131
"ESC_FC7470AA_AS","Human","Escherichia coli",131
"ESC_FC7472AA_AS","Human","Escherichia coli",131
"ESC_FC7474AA_AS","Human","Escherichia coli",131
"ESC_FC7475AA_AS","Human","Escherichia coli",131
"ESC_FC7477AA_AS","Human","Escherichia coli",131
"ESC_FC7916AA_AS","Human","Escherichia coli",131
"ESC_FC7920AA_AS","Human","Escherichia coli",131
"ESC_FC7924AA_AS","Human","Escherichia coli",131
"ESC_FC7925AA_AS","Human","Escherichia coli",131
"ESC_FC7927AA_AS","Human","Escherichia coli",131
"ESC_FC7928AA_AS","Human","Escherichia coli",131
"ESC_FC7934AA_AS","Human","Escherichia coli",131
"ESC_FC7937AA_AS","Human","Escherichia coli",131
"ESC_FC7939AA_AS","Human","Escherichia coli",131
"ESC_FC7940AA_AS","Human","Escherichia coli",131
"ESC_FC7952AA_AS","Human","Escherichia coli",131
"ESC_FC7956AA_AS","Human","Escherichia coli",131
"ESC_FC8013AA_AS","Human","Escherichia coli",131
"ESC_FC8022AA_AS","Human","Escherichia coli",131
"ESC_FC8026AA_AS","Human","Escherichia coli",131
"ESC_FC8043AA_AS","Human","Escherichia coli",131
"ESC_FC8047AA_AS","Human","Escherichia coli",131
"ESC_FC8048AA_AS","Human","Escherichia coli",131
"ESC_FC8049AA_AS","Human","Escherichia coli",131
"ESC_FC8052AA_AS","Human","Escherichia coli",131
"ESC_FC8058AA_AS","Human","Escherichia coli",131
"ESC_FC8059AA_AS","Human","Escherichia coli",131
"ESC_FC8060AA_AS","Human","Escherichia coli",131
"ESC_FC8069AA_AS","Human","Escherichia coli",131
"ESC_FC8073AA_AS","Human","Escherichia coli",131
"ESC_FC8075AA_AS","Human","Escherichia coli",131
"ESC_FC8078AA_AS","Human","Escherichia coli",131
"ESC_FC8083AA_AS","Human","Escherichia coli",131
"ESC_FC8084AA_AS","Human","Escherichia coli",131
"ESC_FC8085AA_AS","Human","Escherichia coli",131
"ESC_FC8086AA_AS","Human","Escherichia coli",131
"ESC_FC8088AA_AS","Human","Escherichia coli",131
"ESC_FC8090AA_AS","Human","Escherichia coli",131
"ESC_FC8091AA_AS","Human","Escherichia coli",131
"ESC_FC8092AA_AS","Human","Escherichia coli",131
"ESC_FC8093AA_AS","Human","Escherichia coli",131
"ESC_FC8094AA_AS","Human","Escherichia coli",131
"ESC_FC8130AA_AS","Human","Escherichia coli",131
"ESC_FC8143AA_AS","Human","Escherichia coli",131
"ESC_FC8149AA_AS","Human","Escherichia coli",131
"ESC_FC8168AA_AS","Human","Escherichia coli",131
"ESC_FC8184AA_AS","Human","Escherichia coli",131
"ESC_FC8186AA_AS","Human","Escherichia coli",131
"ESC_FC8241AA_AS","Human","Escherichia coli",131
"ESC_FC8253AA_AS","Human","Escherichia coli",131
"ESC_FC8256AA_AS","Human","Escherichia coli",131
"ESC_FC8262AA_AS","Human","Escherichia coli",131
"ESC_FC8267AA_AS","Human","Escherichia coli",131
"ESC_FC8279AA_AS","Human","Escherichia coli",131
"ESC_FC8288AA_AS","Human","Escherichia coli",131
"ESC_FC8300AA_AS","Human","Escherichia coli",131
"ESC_FC8302AA_AS","Human","Escherichia coli",131
"ESC_FC8303AA_AS","Human","Escherichia coli",131
"ESC_FC8304AA_AS","Human","Escherichia coli",131
"ESC_FC8310AA_AS","Human","Escherichia coli",131
"ESC_FC8313AA_AS","Human","Escherichia coli",131
"ESC_FC8314AA_AS","Human","Escherichia coli",131
"ESC_FC8316AA_AS","Human","Escherichia coli",131
"ESC_FC8317AA_AS","Human","Escherichia coli",131
"ESC_FC8318AA_AS","Human","Escherichia coli",131
"ESC_FC8322AA_AS","Human","Escherichia coli",131
"ESC_FC8325AA_AS","Human","Escherichia coli",131
"ESC_FC8327AA_AS","Human","Escherichia coli",131
"ESC_FC8328AA_AS","Human","Escherichia coli",131
"ESC_FC8330AA_AS","Human","Escherichia coli",131
"ESC_FC8337AA_AS","Human","Escherichia coli",131
"ESC_FC8350AA_AS","Human","Escherichia coli",131
"ESC_FC8352AA_AS","Human","Escherichia coli",131
"ESC_FC8362AA_AS","Human","Escherichia coli",131
"ESC_FC8383AA_AS","Human","Escherichia coli",131
"ESC_FC8926AA_AS","Human","Escherichia coli",131
